,name,chapter,appeared,rolling_appearance
126239,Chew,82,1,2.0
126442,Genzo,82,1,3.0
126520,Hatchan,82,1,2.0
126648,Johnny,82,1,2.0
126681,Kaneshiro,82,1,1.0
126769,Kuroobi,82,1,3.0
126910,Momoo,82,1,1.0
126917,Monkey D. Luffy,82,1,23.0
126966,Nako,82,1,2.0
127006,Nojiko,82,1,3.0
127160,Roronoa Zoro,82,1,23.0
127195,Sanji,82,1,5.0
127257,Shioyaki,82,1,1.0
127417,Usopp,82,1,22.0
127488,Yosaku,82,1,2.0
127548,Arlong,83,1,3.0
127794,Chew,83,1,3.0
127997,Genzo,83,1,3.0
128075,Hatchan,83,1,2.0
128203,Johnny,83,1,3.0
128324,Kuroobi,83,1,3.0
128472,Monkey D. Luffy,83,1,23.0
128521,Nako,83,1,3.0
128561,Nojiko,83,1,3.0
128715,Roronoa Zoro,83,1,16.0
128750,Sanji,83,1,7.0
128972,Usopp,83,1,16.0
129043,Yosaku,83,1,3.0
129103,Arlong,84,1,3.0
129349,Chew,84,1,3.0
129552,Genzo,84,1,3.0
129630,Hatchan,84,1,3.0
129758,Johnny,84,1,3.0
129879,Kuroobi,84,1,3.0
130027,Monkey D. Luffy,84,1,23.0
130076,Nako,84,1,3.0
130116,Nojiko,84,1,3.0
130270,Roronoa Zoro,84,1,8.0
130305,Sanji,84,1,10.0
130527,Usopp,84,1,8.0
130598,Yosaku,84,1,3.0
130658,Arlong,85,1,3.0
131107,Genzo,85,1,3.0
131185,Hatchan,85,1,3.0
131313,Johnny,85,1,3.0
131434,Kuroobi,85,1,3.0
131631,Nako,85,1,3.0
131671,Nojiko,85,1,3.0
131825,Roronoa Zoro,85,1,3.0
131860,Sanji,85,1,18.0
132153,Yosaku,85,1,3.0
132213,Arlong,86,1,3.0
132662,Genzo,86,1,3.0
132868,Johnny,86,1,3.0
132989,Kuroobi,86,1,3.0
133226,Nojiko,86,1,3.0
133380,Roronoa Zoro,86,1,3.0
133415,Sanji,86,1,25.0
133708,Yosaku,86,1,3.0
133768,Arlong,87,1,3.0
134014,Chew,87,1,1.0
134217,Genzo,87,1,3.0
134423,Johnny,87,1,3.0
134781,Nojiko,87,1,3.0
134935,Roronoa Zoro,87,1,3.0
134970,Sanji,87,1,23.0
135192,Usopp,87,1,1.0
135263,Yosaku,87,1,3.0
135323,Arlong,88,1,3.0
135569,Chew,88,1,2.0
135772,Genzo,88,1,3.0
135850,Hatchan,88,1,1.0
135978,Johnny,88,1,3.0
136247,Monkey D. Luffy,88,1,21.0
136296,Nako,88,1,1.0
136297,Nami,88,1,20.0
136336,Nojiko,88,1,3.0
136490,Roronoa Zoro,88,1,3.0
136525,Sanji,88,1,21.0
136747,Usopp,88,1,2.0
136818,Yosaku,88,1,3.0
136878,Arlong,89,1,3.0
137327,Genzo,89,1,3.0
137405,Hatchan,89,1,2.0
137533,Johnny,89,1,3.0
137802,Monkey D. Luffy,89,1,22.0
137851,Nako,89,1,2.0
137852,Nami,89,1,21.0
137891,Nojiko,89,1,3.0
138045,Roronoa Zoro,89,1,3.0
138080,Sanji,89,1,19.0
138302,Usopp,89,1,3.0
138373,Yosaku,89,1,3.0
138433,Arlong,90,1,3.0
138882,Genzo,90,1,3.0
139088,Johnny,90,1,3.0
139357,Monkey D. Luffy,90,1,22.0
139406,Nako,90,1,3.0
139407,Nami,90,1,20.0
139446,Nojiko,90,1,3.0
139600,Roronoa Zoro,90,1,4.0
139635,Sanji,90,1,17.0
139857,Usopp,90,1,3.0
139928,Yosaku,90,1,3.0
139988,Arlong,91,1,3.0
140437,Genzo,91,1,3.0
140643,Johnny,91,1,3.0
140912,Monkey D. Luffy,91,1,17.0
140962,Nami,91,1,17.0
141001,Nojiko,91,1,3.0
141190,Sanji,91,1,14.0
141412,Usopp,91,1,4.0
141483,Yosaku,91,1,3.0
141543,Arlong,92,1,3.0
141992,Genzo,92,1,3.0
142198,Johnny,92,1,3.0
142467,Monkey D. Luffy,92,1,19.0
142517,Nami,92,1,11.0
142556,Nojiko,92,1,3.0
142745,Sanji,92,1,9.0
142967,Usopp,92,1,4.0
143038,Yosaku,92,1,3.0
143098,Arlong,93,1,3.0
143547,Genzo,93,1,3.0
143753,Johnny,93,1,3.0
144022,Monkey D. Luffy,93,1,20.0
144072,Nami,93,1,10.0
144111,Nojiko,93,1,3.0
144300,Sanji,93,1,13.0
144522,Usopp,93,1,7.0
144593,Yosaku,93,1,3.0
145102,Genzo,94,1,3.0
145308,Johnny,94,1,3.0
145577,Monkey D. Luffy,94,1,17.0
145626,Nako,94,1,1.0
145627,Nami,94,1,15.0
145650,Nezumi,94,1,1.0
145666,Nojiko,94,1,3.0
145820,Roronoa Zoro,94,1,11.0
145850,Sam,94,1,1.0
145855,Sanji,94,1,17.0
146077,Usopp,94,1,11.0
146148,Yosaku,94,1,3.0
146359,Chabo,95,1,1.0
146657,Genzo,95,1,3.0
146863,Johnny,95,1,3.0
147132,Monkey D. Luffy,95,1,18.0
147181,Nako,95,1,2.0
147182,Nami,95,1,13.0
147221,Nojiko,95,1,3.0
147375,Roronoa Zoro,95,1,13.0
147410,Sanji,95,1,15.0
147632,Usopp,95,1,14.0
147703,Yosaku,95,1,3.0
147818,Benn Beckman,96,1,1.0
147868,Brannew,96,1,2.0
147895,Cancer,96,1,1.0
148116,Dracule Mihawk,96,1,2.0
148417,John Giant,96,1,1.0
148523,Koze,96,1,1.0
148578,Lucky Roux,96,1,1.0
148592,Makino,96,1,2.0
148687,Monkey D. Luffy,96,1,17.0
148737,Nami,96,1,11.0
148808,Packy,96,1,1.0
148930,Roronoa Zoro,96,1,15.0
148965,Sanji,96,1,12.0
149006,Shanks,96,1,1.0
149066,Stainless,96,1,2.0
149110,Tashigi,96,1,1.0
149187,Usopp,96,1,11.0
149236,Woop Slap,96,1,1.0
