,name,recent_freq,total_appearances,activity_score
1455,Yurusumaji Mask,0.0,0,0.0
1456,Yuwana Myclose,0.02,3,0.014997782705099777
1457,Yves,0.0,1,0.0003325942350332594
1458,Zabo,0.0,1,0.0003325942350332594
1459,Zala,0.0,0,0.0
1460,Zambai,0.0,46,0.015299334811529931
1461,Zangirimaru,0.0,1,0.0003325942350332594
1462,Zanki,0.0,3,0.0009977827050997783
1463,Zayde,0.0,4,0.0013303769401330377
1464,Zeff,0.01,28,0.016312638580931266
1465,Zeo,0.0,19,0.006319290465631929
1466,Zepo,0.0,0,0.0
1467,Zeus,0.1,63,0.09095343680709533
1468,Zodia,0.0,4,0.0013303769401330377
1469,Zukka,0.0,2,0.0006651884700665188
1470,Zunesha,0.01,17,0.012654101995565409
1471,Zururin,0.0,1,0.0003325942350332594
